OVERALL RANKINGS
Report generated at: f2022-11-06 00:24:18.205578-04:00
bot1 1.0
bot35 2.0
bot38 3.0
bot11 4.0
bot56 5.0
bot25 6.0
bot39 7.0
bot24 8.0
bot51 9.0
bot4 10.0
bot26 11.0
bot58 12.0
bot33 13.0
bot21 14.0
bot40 15.0
bot16 16.0
bot50 17.0
bot52 18.0
bot60 19.0
bot53 20.0
bot31 21.0
bot59 22.0
bot42 23.0
bot54 24.0
bot55 25.0
bot32 26.0
bot3 27.0
bot7 28.0
bot8 29.0
bot9 30.0
bot20 31.0
bot44 32.0
bot48 33.0
bot37 34.0
bot43 35.0
bot23 36.0
bot49 37.0
bot17 38.0
bot30 39.0
bot5 40.0
bot28 41.0
bot18 42.0
bot46 43.0
bot15 44.0
bot47 45.0
bot41 46.0
bot27 47.0
bot36 48.0
bot57 49.0
bot13 50.0
bot2 51.0
bot22 52.0
bot19 53.0
bot34 54.0
bot12 55.0
bot14 56.0
bot45 57.0
bot6 58.0
bot10 59.0
bot29 60.0




RANKINGS BY ROUND
bot1 [1]
bot35 [2]
bot38 [3]
bot11 [4]
bot56 [5]
bot25 [6]
bot39 [7]
bot24 [8]
bot51 [9]
bot4 [10]
bot26 [11]
bot58 [12]
bot33 [13]
bot21 [14]
bot40 [15]
bot16 [16]
bot50 [17]
bot52 [18]
bot60 [19]
bot53 [20]
bot31 [21]
bot59 [22]
bot42 [23]
bot54 [24]
bot55 [25]
bot32 [26]
bot3 [27]
bot7 [28]
bot8 [29]
bot9 [30]
bot20 [31]
bot44 [32]
bot48 [33]
bot37 [34]
bot43 [35]
bot23 [36]
bot49 [37]
bot17 [38]
bot30 [39]
bot5 [40]
bot28 [41]
bot18 [42]
bot46 [43]
bot15 [44]
bot47 [45]
bot41 [46]
bot27 [47]
bot36 [48]
bot57 [49]
bot13 [50]
bot2 [51]
bot22 [52]
bot19 [53]
bot34 [54]
bot12 [55]
bot14 [56]
bot45 [57]
bot6 [58]
bot10 [59]
bot29 [60]
